candidate_id,cohort,gender,ethnicity,degree_major,teaching_experience,gpa,leadership_score,communication_score,self_efficacy,organisational_support,selected,proba
1,2022,Female,Australian,Commerce,1-3 years,2.5,8.5,8.7,10.0,3.6,1,0.9017552236844207
2,2023,Male,Australian,Education,1-3 years,2.5,4.3,7.4,8.8,5.3,1,0.7806502900311323
3,2021,Male,Chinese,Education,3+ years,3.0,7.3,7.0,10.0,4.7,1,0.9299529130514504
4,2023,Female,Vietnamese,Education,1-3 years,3.0,4.6,8.2,6.1,2.1,0,0.6303850822452566
5,2023,Male,Australian,Other,1-3 years,2.0,3.5,5.7,7.0,4.1,0,0.6007948314006462
6,2020,Female,Australian,Science,3+ years,4.0,7.2,5.6,7.7,2.0,0,0.8695346200396934
7,2021,Female,Australian,Education,3+ years,2.0,4.7,6.6,6.8,2.4,0,0.3121553195490151
8,2021,Male,Filipino,Education,3+ years,3.0,6.9,6.3,5.5,2.6,1,0.9544979602432081
9,2021,Female,Chinese,Commerce,3+ years,2.5,7.0,5.8,5.2,7.9,0,0.8580043755116884
10,2023,Male,Australian,Education,1-3 years,2.0,7.1,9.7,7.2,9.2,1,0.9719398059307259
11,2022,Male,British,Commerce,1-3 years,2.0,5.5,10.0,4.9,1.7,1,0.9454268790892684
12,2021,Female,Australian,Arts,3+ years,3.0,7.4,6.5,4.8,9.5,1,0.9571432009249808
13,2024,Female,Australian,STEM,<1 year,2.5,4.2,7.1,7.5,2.7,1,0.6119369350330875
14,2023,Female,Australian,STEM,1-3 years,3.0,1.1,6.7,6.6,7.4,1,0.2821117903972971
15,2020,Female,Australian,Commerce,3+ years,2.5,7.4,8.7,8.5,6.1,1,0.9840702446636882
16,2022,Female,Australian,Arts,1-3 years,3.0,6.3,9.0,6.0,7.1,1,0.8815011510086678
17,2024,Female,Australian,Arts,<1 year,2.5,4.8,4.3,5.8,2.6,1,0.5345477545161276
18,2024,Female,Australian,Commerce,<1 year,2.5,3.1,7.7,7.6,1.0,1,0.4722956716851259
19,2020,Male,Australian,Education,3+ years,2.5,1.9,5.0,5.3,3.5,1,0.3012203255011509
20,2022,Male,Australian,Commerce,1-3 years,3.0,6.1,9.6,5.6,6.6,1,0.8535168806048683
21,2023,Male,Australian,Education,1-3 years,2.5,9.3,7.7,5.7,10.0,1,0.8864683440817096
22,2019,Female,Australian,STEM,3+ years,2.0,5.7,5.8,6.4,2.9,1,0.6890624238790298
23,2022,Female,Australian,Commerce,1-3 years,4.0,5.3,6.6,10.0,5.3,1,0.914447698871155
24,2020,Male,Australian,Education,3+ years,3.0,6.0,6.6,4.3,3.6,1,0.6891811547222602
25,2024,Female,Other,Education,<1 year,2.0,10.0,7.8,9.1,5.5,1,0.9908735424250696
26,2023,Female,Indian,Commerce,1-3 years,4.0,7.5,8.6,8.1,1.0,1,0.9699072769538221
27,2022,Male,Other,Arts,1-3 years,3.0,4.1,5.3,9.6,9.2,1,0.8484113062660759
28,2019,Male,Australian,STEM,3+ years,2.0,6.1,9.8,10.0,5.6,0,0.858287576892344
29,2019,Male,Australian,Science,3+ years,2.0,6.7,9.4,9.4,7.8,1,0.9914362339693915
30,2021,Female,Torres Strait Islander,Education,3+ years,3.0,3.9,5.7,8.5,4.9,1,0.9791356664803922
31,2021,Male,Australian,STEM,3+ years,3.0,7.5,7.1,4.4,6.0,1,0.8743125659207345
32,2020,Male,Australian,Commerce,3+ years,2.0,4.4,9.6,4.7,8.3,1,0.8632547321229672
33,2022,Male,Australian,Science,1-3 years,2.5,3.0,8.8,7.4,5.8,1,0.8845927021454556
34,2022,Male,Filipino,Education,1-3 years,2.5,6.2,6.5,3.7,5.9,1,0.4044091111988677
35,2024,Male,Australian,Commerce,<1 year,2.5,5.8,8.2,7.9,3.5,1,0.896102357355034
36,2024,Male,Other,Education,<1 year,2.0,6.0,10.0,3.0,4.2,1,0.9278535061050427
37,2024,Female,Other,Education,<1 year,2.0,4.5,7.2,8.9,3.0,1,0.6255692399289077
38,2021,Male,Australian,Other,3+ years,3.0,4.7,6.1,6.2,3.7,1,0.6463623306359328
39,2022,Male,Indian,Education,1-3 years,3.0,8.3,7.3,7.0,8.6,1,0.9467603881898882
40,2022,Male,Australian,Education,1-3 years,2.5,6.9,7.4,5.5,10.0,1,0.8674990514913071
41,2019,Female,New Zealander,Commerce,3+ years,2.5,4.1,6.2,3.4,2.4,0,0.2302582141211888
42,2021,Female,Australian,Arts,3+ years,2.5,2.1,7.7,9.0,6.5,1,0.853436185747352
43,2023,Male,Chinese,Commerce,1-3 years,2.5,4.2,5.1,9.2,4.7,0,0.5961364774766014
44,2021,Male,Australian,Science,3+ years,4.0,6.3,6.0,6.2,9.0,1,0.9706377613051949
45,2023,Male,Other,Arts,1-3 years,3.0,4.7,8.1,8.0,5.8,1,0.9623229800796609
46,2019,Male,Australian,Education,3+ years,2.0,4.6,4.4,6.1,5.5,1,0.7913117302326743
47,2020,Male,Australian,Commerce,3+ years,2.5,4.8,8.4,7.3,3.6,1,0.9492316626456215
48,2022,Male,Chinese,Commerce,1-3 years,2.5,5.9,4.0,8.2,1.7,1,0.5850711318330878
49,2019,Male,Filipino,Arts,3+ years,2.5,7.6,4.4,7.8,7.4,0,0.744306524215311
